year,season,date,site,plot,transect,quad,treatment,species,obs,cover,height,count,comment
2003,1,3/12/2003,P,1,N,1,C,BADI,1,0.05,2,6,NA
2003,1,3/12/2003,P,1,N,1,C,BADI,2,0.01,1,21,NA
2003,1,3/12/2003,P,1,N,1,C,CEMOP,1,6,77,1,NA
2003,1,3/12/2003,P,1,N,1,C,LEPI3,1,0.1,2,1,NA
2003,1,3/12/2003,P,1,N,1,C,QUTU2,1,0.75,19,1,NA
2003,1,3/12/2003,P,1,N,1,C,RHTR,1,6,24,1,NO_FOLIAGE
2003,1,3/12/2003,P,1,N,1,C,THWR,1,0.1,2,3,NA
2003,1,3/12/2003,P,1,N,1,C,THWR,2,0.05,1,5,NA
2003,1,3/12/2003,P,1,N,2,C,BADI,1,0.05,2,9,NA
2003,1,3/12/2003,P,1,N,2,C,BADI,2,0.01,1,3,NA
2003,1,3/12/2003,P,1,N,2,C,LEPI3,1,0.1,3,1,NA
2003,1,3/12/2003,P,1,N,2,C,NECA3,1,0.1,2,2,NA
2003,1,3/12/2003,P,1,N,2,C,NECA3,2,0.05,1,3,NA
2003,1,3/12/2003,P,1,N,2,C,QUTU2,1,100,197,2,NA
2003,1,3/12/2003,P,1,N,2,C,THWR,1,0.25,3,5,NA
2003,1,3/12/2003,P,1,N,2,C,THWR,2,0.1,3,7,NA
2003,1,3/12/2003,P,1,N,2,C,THWR,3,0.05,2,13,NA
2003,1,3/12/2003,P,1,N,2,C,YUBA,1,14,3,1,NA
2003,1,3/12/2003,P,1,N,3,C,BADI,1,0.05,2,18,NA
2003,1,3/12/2003,P,1,N,3,C,BADI,2,0.1,2,1,NA
2003,1,3/12/2003,P,1,N,3,C,ELEL5,1,0.05,4,1,NA
2003,1,3/12/2003,P,1,N,3,C,LEPI3,1,0.1,2,9,NA
2003,1,3/12/2003,P,1,N,3,C,LEPI3,2,0.05,3,2,NA
2003,1,3/12/2003,P,1,N,3,C,MUPA2,1,0.25,8,4,NA
2003,1,3/12/2003,P,1,N,3,C,MUPA2,2,0.1,8,2,NA
2003,1,3/12/2003,P,1,N,3,C,MUPA2,3,0.05,6,3,NA
2003,1,3/12/2003,P,1,N,3,C,NECA3,1,0.05,1,2,NA
2003,1,3/12/2003,P,1,N,3,C,NECA3,2,0.01,1,1,NA
2003,1,3/12/2003,P,1,N,4,C,BADI,1,0.01,1,14,NA
2003,1,3/12/2003,P,1,N,4,C,BADI,2,0.05,2,4,NA
2003,1,3/12/2003,P,1,N,4,C,BOHI2,1,0.1,3,4,NA
2003,1,3/12/2003,P,1,N,4,C,LEPI3,1,0.05,2,44,NA
2003,1,3/12/2003,P,1,N,4,C,LEPI3,2,0.01,1,18,NA
2003,1,3/12/2003,P,1,N,4,C,QUTU2,1,3,21,1,NA
2003,1,3/12/2003,P,1,N,4,C,THWR,1,0.1,2,2,NA
2003,1,3/12/2003,P,1,N,4,C,THWR,2,0.05,1,13,NA
2003,1,3/12/2003,P,1,N,4,C,THWR,3,0.01,1,6,NA
2003,1,3/12/2003,P,1,N,4,C,YUBA,1,7,2,1,NA
2003,1,3/12/2003,P,1,N,5,C,BADI,1,0.05,2,47,NA
2003,1,3/12/2003,P,1,N,5,C,BADI,2,0.01,1,52,NA
2003,1,3/12/2003,P,1,N,5,C,BOHI2,1,0.05,4,2,NA
2003,1,3/12/2003,P,1,N,5,C,BOHI2,2,0.1,3,5,NA
2003,1,3/12/2003,P,1,N,5,C,LEPI3,1,0.05,2,26,NA
2003,1,3/12/2003,P,1,N,5,C,LEPI3,2,0.01,1,23,NA
2003,1,3/12/2003,P,1,N,5,C,QUGR3,1,0.25,5,1,SAPLING
2003,1,3/12/2003,P,1,N,6,C,BADI,1,0.05,2,2,NA
2003,1,3/12/2003,P,1,N,6,C,LEPI3,1,0.05,2,46,NA
2003,1,3/12/2003,P,1,N,6,C,LEPI3,2,0.1,2,2,NA
2003,1,3/12/2003,P,1,N,6,C,LEPI3,3,0.01,1,37,NA
2003,1,3/12/2003,P,1,N,6,C,QUTU2,1,25,55,2,NA
2003,1,3/12/2003,P,1,N,7,C,BADI,1,0.05,2,13,NA
2003,1,3/12/2003,P,1,N,7,C,BOHI2,1,0.05,1,1,NA
2003,1,3/12/2003,P,1,N,7,C,ELEL5,1,0.01,3,7,NA
2003,1,3/12/2003,P,1,N,7,C,GUSA2,1,0.25,8,1,NA
2003,1,3/12/2003,P,1,N,7,C,LEPI3,1,0.1,2,29,NA
2003,1,3/12/2003,P,1,N,7,C,LEPI3,2,0.25,3,2,NA
2003,1,3/12/2003,P,1,N,7,C,LEPI3,3,0.05,1,76,NA
2003,1,3/12/2003,P,1,N,7,C,LEPI3,4,0.01,1,51,NA
2003,1,3/12/2003,P,1,N,7,C,QUGR3,1,0.05,3,1,NA
2003,1,3/12/2003,P,1,N,7,C,THWR,1,0.1,2,2,NA
2003,1,3/12/2003,P,1,N,8,C,BADI,1,0.05,2,10,NA
2003,1,3/12/2003,P,1,N,8,C,BADI,2,0.01,2,5,NA
2003,1,3/12/2003,P,1,N,8,C,BOHI2,1,0.05,2,1,NA
2003,1,3/12/2003,P,1,N,8,C,ELEL5,1,0.05,12,5,NA
2003,1,3/12/2003,P,1,N,8,C,ELEL5,2,0.01,10,2,NA
2003,1,3/12/2003,P,1,N,8,C,ELEL5,3,0.01,3,2,NA
2003,1,3/12/2003,P,1,N,8,C,ELEL5,4,0.1,14,1,NA
2003,1,3/12/2003,P,1,N,8,C,LEPI3,1,0.05,3,7,NA
2003,1,3/12/2003,P,1,N,8,C,LEPI3,2,0.05,2,13,NA
2003,1,3/12/2003,P,1,N,8,C,LEPI3,3,0.1,3,16,NA
2003,1,3/12/2003,P,1,N,8,C,LEPI3,4,0.01,1,3,NA
2003,1,3/12/2003,P,1,N,8,C,QUGR3,1,75,130,1,NA
2003,1,3/12/2003,P,1,N,9,C,BOCU,1,0.1,6,1,NA
2003,1,3/12/2003,P,1,N,9,C,BOCU,2,0.05,2,4,NA
2003,1,3/12/2003,P,1,N,9,C,BOCU,3,0.01,1,2,NA
2003,1,3/12/2003,P,1,N,9,C,ELEL5,1,0.1,9,1,NA
2003,1,3/12/2003,P,1,N,9,C,LEPI3,1,0.05,2,55,NA
2003,1,3/12/2003,P,1,N,9,C,LEPI3,2,0.1,2,6,NA
2003,1,3/12/2003,P,1,N,9,C,LEPI3,3,0.01,1,31,NA
2003,1,3/12/2003,P,1,N,9,C,OPPH,1,2,2,1,LxW
2003,1,3/12/2003,P,1,N,9,C,QUTU2,1,33,134,1,WAS_QUTU2
2003,1,3/12/2003,P,1,N,10,C,ARLUL2,1,0.1,6,3,NA
2003,1,3/12/2003,P,1,N,10,C,ARLUL2,2,0.1,3,1,NA
2003,1,3/12/2003,P,1,N,10,C,ARLUL2,3,0.05,3,1,NA
2003,1,3/12/2003,P,1,N,10,C,CEMOP,1,0.25,15,1,SAPLING
2003,1,3/12/2003,P,1,N,10,C,ELEL5,1,0.1,8,1,NA
2003,1,3/12/2003,P,1,N,10,C,ERFL,1,0.25,2,3,NA
2003,1,3/12/2003,P,1,N,10,C,LEPI3,1,0.05,2,30,NA
2003,1,3/12/2003,P,1,N,10,C,LEPI3,2,0.1,2,5,NA
2003,1,3/12/2003,P,1,N,10,C,LEPI3,3,0.01,1,20,NA
2003,1,3/12/2003,P,1,N,10,C,OPPH,1,7,7,1,LxW
2003,1,3/12/2003,P,1,N,10,C,OPPH,2,9,7,3,LxW
2003,1,3/12/2003,P,1,N,10,C,OPPH,3,7,4,2,LxW
2003,1,3/12/2003,P,1,N,10,C,OPPH,4,8,5,1,LxW
2003,1,3/12/2003,P,1,N,10,C,OPPH,5,12,9,2,LxW
2003,1,3/12/2003,P,1,N,10,C,QUPA,1,100,330,1,NA
2003,1,3/11/2003,P,1,R,1,C,BADI,1,0.01,1,2,NA
2003,1,3/11/2003,P,1,R,1,C,BOHI2,1,0.1,1,18,NA
2003,1,3/11/2003,P,1,R,1,C,BOHI2,2,0.25,2,2,NA
2003,1,3/11/2003,P,1,R,1,C,BOHI2,3,0.05,1,7,NA
2003,1,3/11/2003,P,1,R,1,C,BOHI2,4,0.01,1,6,NA
2003,1,3/11/2003,P,1,R,2,C,BOHI2,1,0.1,2,12,NA
2003,1,3/11/2003,P,1,R,2,C,BOHI2,2,0.05,1,13,NA
2003,1,3/11/2003,P,1,R,3,C,ASNU4,1,0.01,1,1,NA
2003,1,3/11/2003,P,1,R,3,C,BADI,1,0.05,2,10,NA
2003,1,3/11/2003,P,1,R,3,C,BADI,2,0.05,3,6,NA
2003,1,3/11/2003,P,1,R,3,C,BADI,3,0.01,2,2,NA
2003,1,3/11/2003,P,1,R,3,C,BOCU,1,1,7,1,NA
2003,1,3/11/2003,P,1,R,3,C,DEPI,1,0.01,2,2,NA
2003,1,3/11/2003,P,1,R,3,C,ECCOC,1,0.25,6,1,CACTUS
2003,1,3/11/2003,P,1,R,3,C,QUGR3,1,7,34,1,NA
2003,1,3/11/2003,P,1,R,3,C,THWR,1,0.05,2,12,NA
2003,1,3/11/2003,P,1,R,3,C,THWR,2,0.1,2,2,NA
2003,1,3/11/2003,P,1,R,3,C,THWR,3,0.01,1,4,NA
2003,1,3/11/2003,P,1,R,4,C,BADI,1,0.01,1,2,NA
2003,1,3/11/2003,P,1,R,4,C,BADI,2,0.05,1,2,NA
2003,1,3/11/2003,P,1,R,4,C,BOER4,1,1,9,3,NA
2003,1,3/11/2003,P,1,R,4,C,BOER4,2,0.75,9,2,NA
2003,1,3/11/2003,P,1,R,4,C,BOER4,3,0.25,8,4,NA
2003,1,3/11/2003,P,1,R,4,C,BOER4,4,0.1,6,4,NA
2003,1,3/11/2003,P,1,R,4,C,BOER4,5,1.5,8,1,NA
2003,1,3/11/2003,P,1,R,4,C,BOER4,6,2,10,1,NA
2003,1,3/11/2003,P,1,R,4,C,BOHI2,1,0.5,3,3,NA
2003,1,3/11/2003,P,1,R,4,C,BOHI2,2,0.1,2,7,NA
2003,1,3/11/2003,P,1,R,4,C,BOHI2,3,0.25,3,6,NA
2003,1,3/11/2003,P,1,R,4,C,BOHI2,4,0.75,3,2,NA
2003,1,3/11/2003,P,1,R,4,C,GLBI2,1,0.05,1,2,NA
2003,1,3/11/2003,P,1,R,4,C,GLBI2,2,0.05,2,1,NA
2003,1,3/11/2003,P,1,R,4,C,GLBI2,3,0.01,1,1,NA
2003,1,3/11/2003,P,1,R,5,C,BADI,1,0.01,2,2,NA
2003,1,3/11/2003,P,1,R,5,C,CEMOP,1,0.25,3,1,NA
2003,1,3/11/2003,P,1,R,6,C,BADI,1,0.05,2,5,NA
2003,1,3/11/2003,P,1,R,6,C,BADI,2,0.05,4,6,NA
2003,1,3/11/2003,P,1,R,6,C,BADI,3,0.1,5,2,NA
2003,1,3/11/2003,P,1,R,6,C,BADI,4,0.01,2,8,NA
2003,1,3/11/2003,P,1,R,6,C,GLBI2,1,0.05,2,4,NA
2003,1,3/11/2003,P,1,R,6,C,GLBI2,2,0.1,2,1,NA
2003,1,3/11/2003,P,1,R,6,C,GLBI2,3,0.01,1,2,NA
2003,1,3/11/2003,P,1,R,6,C,GLBI2,4,0.1,4,2,NA
2003,1,3/11/2003,P,1,R,6,C,MAHA4,1,0.5,13,1,NA
2003,1,3/11/2003,P,1,R,6,C,QUGR3,1,1,13,1,NA
2003,1,3/11/2003,P,1,R,6,C,THWR,1,0.5,3,1,NA
2003,1,3/11/2003,P,1,R,6,C,THWR,2,0.25,4,5,NA
2003,1,3/11/2003,P,1,R,6,C,THWR,3,0.1,2,2,NA
2003,1,3/11/2003,P,1,R,6,C,THWR,4,0.05,2,1,NA
2003,1,3/11/2003,P,1,R,7,C,BADI,1,0.05,2,56,NA
2003,1,3/11/2003,P,1,R,7,C,BADI,2,0.01,1,12,NA
2003,1,3/11/2003,P,1,R,7,C,THWR,1,0.05,2,3,NA
2003,1,3/11/2003,P,1,R,7,C,THWR,2,0.1,3,1,NA
2003,1,3/11/2003,P,1,R,8,C,BADI,1,0.05,2,4,NA
2003,1,3/11/2003,P,1,R,8,C,OPPH,1,12,11,1,NA
2003,1,3/11/2003,P,1,R,8,C,OPPH,2,13,9,1,NA
2003,1,3/11/2003,P,1,R,8,C,OPPH,3,10,6,1,NA
2003,1,3/11/2003,P,1,R,8,C,OPPH,4,9,7,1,NA
2003,1,3/11/2003,P,1,R,8,C,QUGR3,1,0.5,11,1,WAS_QUTU2
2003,1,3/11/2003,P,1,R,8,C,THWR,1,0.05,2,1,NA
