year,season,date,treatment,site,block,plot,quad,species,obs,cover,height,count,comment
2012,3,10/8/2012,C,EB,9,1,1,BOER4,1,1.5,14,1,NA
2012,3,10/8/2012,C,EB,9,1,1,BOER4,2,0.75,12,1,NA
2012,3,10/8/2012,C,EB,9,1,1,BOGR2,1,0.1,5,16,NA
2012,3,10/8/2012,C,EB,9,1,1,BOGR2,2,0.5,7,5,NA
2012,3,10/8/2012,C,EB,9,1,1,BOGR2,3,0.75,8,10,NA
2012,3,10/8/2012,C,EB,9,1,1,BOGR2,4,1,8,1,NA
2012,3,10/8/2012,C,EB,9,1,1,BOGR2,5,0.25,7,25,NA
2012,3,10/8/2012,C,EB,9,1,1,BOGR2,6,0.1,2,4,NA
2012,3,10/8/2012,C,EB,9,1,1,BOGR2,7,0.25,4,5,NA
2012,3,10/8/2012,C,EB,9,1,1,CHSES,1,0.25,2,1,NA
2012,3,10/8/2012,C,EB,9,1,1,CHSES,2,1,2,1,NA
2012,3,10/8/2012,C,EB,9,1,1,CHSES,3,0.1,2,2,NA
2012,3,10/8/2012,C,EB,9,1,1,ECIN2,1,0.1,4,1,NA
2012,3,10/8/2012,C,EB,9,1,2,BOER4,1,0.25,7,1,NA
2012,3,10/8/2012,C,EB,9,1,2,BOGR2,1,0.25,5,29,NA
2012,3,10/8/2012,C,EB,9,1,2,BOGR2,2,0.1,5,12,NA
2012,3,10/8/2012,C,EB,9,1,2,BOGR2,3,0.5,5,8,NA
2012,3,10/8/2012,C,EB,9,1,2,BOGR2,4,0.75,7,5,NA
2012,3,10/8/2012,C,EB,9,1,2,BOGR2,5,0.1,3,5,NA
2012,3,10/8/2012,C,EB,9,1,2,CHSES,1,0.25,1,1,NA
2012,3,10/8/2012,C,EB,9,1,2,CHSES,2,0.5,3,2,NA
2012,3,10/8/2012,C,EB,9,1,2,CHSES,3,0.1,2,2,NA
2012,3,10/8/2012,C,EB,9,1,3,BOER4,1,0.75,5,1,NA
2012,3,10/8/2012,C,EB,9,1,3,BOER4,2,1,8,1,NA
2012,3,10/8/2012,C,EB,9,1,3,BOER4,3,0.25,3,1,NA
2012,3,10/8/2012,C,EB,9,1,3,BOER4,4,3,13,1,NA
2012,3,10/8/2012,C,EB,9,1,3,BOER4,5,1.5,9,1,NA
2012,3,10/8/2012,C,EB,9,1,3,BOGR2,1,0.25,4,2,NA
2012,3,10/8/2012,C,EB,9,1,3,BOGR2,2,0.75,9,4,NA
2012,3,10/8/2012,C,EB,9,1,3,BOGR2,3,1,6,1,NA
2012,3,10/8/2012,C,EB,9,1,3,BOGR2,4,0.1,5,6,NA
2012,3,10/8/2012,C,EB,9,1,3,BOGR2,5,0.25,7,8,NA
2012,3,10/8/2012,C,EB,9,1,3,BOGR2,6,0.5,7,6,NA
2012,3,10/8/2012,C,EB,9,1,3,BOGR2,7,0.1,6,5,NA
2012,3,10/8/2012,C,EB,9,1,3,CHSES,1,0.75,2,2,NA
2012,3,10/8/2012,C,EB,9,1,3,CHSES,2,1,2,1,NA
2012,3,10/8/2012,C,EB,9,1,3,CHSES,3,0.25,2,2,NA
2012,3,10/8/2012,C,EB,9,1,3,CHSES,4,0.1,2,1,NA
2012,3,10/8/2012,C,EB,9,1,3,ECIN2,1,0.25,6,1,R
2012,3,10/8/2012,C,EB,9,1,3,STPA4,1,4,20,1,NA
2012,3,10/8/2012,C,EB,9,1,4,BOER4,1,0.5,7,1,NA
2012,3,10/8/2012,C,EB,9,1,4,BOER4,2,0.75,8,3,NA
2012,3,10/8/2012,C,EB,9,1,4,BOER4,3,1,10,3,NA
2012,3,10/8/2012,C,EB,9,1,4,BOER4,4,1.5,11,2,NA
2012,3,10/8/2012,C,EB,9,1,4,BOER4,5,2,12,2,NA
2012,3,10/8/2012,C,EB,9,1,4,BOGR2,1,0.1,3,4,NA
2012,3,10/8/2012,C,EB,9,1,4,BOGR2,2,0.25,5,11,NA
2012,3,10/8/2012,C,EB,9,1,4,BOGR2,3,0.5,6,4,NA
2012,3,10/8/2012,C,EB,9,1,4,BOGR2,4,0.75,10,3,NA
2012,3,10/8/2012,C,EB,9,1,4,CHSES,1,0.1,2,3,NA
2012,3,10/8/2012,C,EB,9,1,4,CHSES,2,0.75,2,1,NA
2012,3,10/8/2012,C,EB,9,1,4,ZIGR,1,0.1,5,1,NA
2012,3,10/8/2012,D,EB,9,2,1,BOER4,1,1,8,1,NA
2012,3,10/8/2012,D,EB,9,2,1,BOGR2,1,0.1,5,15,NA
2012,3,10/8/2012,D,EB,9,2,1,BOGR2,2,0.25,5,15,NA
2012,3,10/8/2012,D,EB,9,2,1,BOGR2,3,0.5,6,10,NA
2012,3,10/8/2012,D,EB,9,2,1,BOGR2,4,0.75,5,8,NA
2012,3,10/8/2012,D,EB,9,2,1,BOGR2,5,1,6,3,NA
2012,3,10/8/2012,D,EB,9,2,1,CHSES,1,0.1,2,2,NA
2012,3,10/8/2012,D,EB,9,2,1,ECIN2,1,0.1,2,1,R
2012,3,10/8/2012,D,EB,9,2,1,GUSA2,1,0.25,10,1,NA
2012,3,10/8/2012,D,EB,9,2,1,KAPA,1,0.25,4,1,NA
2012,3,10/8/2012,D,EB,9,2,2,BOER4,1,2,12,1,NA
2012,3,10/8/2012,D,EB,9,2,2,BOER4,2,0.5,7,1,NA
2012,3,10/8/2012,D,EB,9,2,2,BOGR2,1,0.1,2,5,NA
2012,3,10/8/2012,D,EB,9,2,2,BOGR2,2,0.25,9,29,NA
2012,3,10/8/2012,D,EB,9,2,2,BOGR2,3,0.5,7,6,NA
2012,3,10/8/2012,D,EB,9,2,2,BOGR2,4,0.75,9,13,NA
2012,3,10/8/2012,D,EB,9,2,2,BOGR2,5,1,6,1,NA
2012,3,10/8/2012,D,EB,9,2,2,BOGR2,6,0.1,5,22,NA
2012,3,10/8/2012,D,EB,9,2,2,CHSES,1,0.5,1,1,NA
2012,3,10/8/2012,D,EB,9,2,3,BOER4,1,2,13,1,NA
2012,3,10/8/2012,D,EB,9,2,3,BOER4,2,2.5,12,1,NA
2012,3,10/8/2012,D,EB,9,2,3,BOER4,3,1,10,1,NA
2012,3,10/8/2012,D,EB,9,2,3,BOER4,4,0.5,7,1,NA
2012,3,10/8/2012,D,EB,9,2,3,BOGR2,1,0.1,4,24,NA
2012,3,10/8/2012,D,EB,9,2,3,BOGR2,2,0.25,5,10,NA
2012,3,10/8/2012,D,EB,9,2,3,BOGR2,3,0.5,6,11,NA
2012,3,10/8/2012,D,EB,9,2,3,BOGR2,4,0.75,6,3,NA
2012,3,10/8/2012,D,EB,9,2,3,BOGR2,5,1,5,3,NA
2012,3,10/8/2012,D,EB,9,2,3,CHSES,1,0.1,2,5,NA
2012,3,10/8/2012,D,EB,9,2,3,CHSES,2,0.25,3,5,NA
2012,3,10/8/2012,D,EB,9,2,3,CHSES,3,0.5,3,2,NA
2012,3,10/8/2012,D,EB,9,2,3,CHSES,4,0.75,3,1,NA
2012,3,10/8/2012,D,EB,9,2,4,BOER4,1,1.5,10,2,NA
2012,3,10/8/2012,D,EB,9,2,4,BOER4,2,1,8,2,NA
2012,3,10/8/2012,D,EB,9,2,4,BOER4,3,0.75,7,1,NA
2012,3,10/8/2012,D,EB,9,2,4,BOGR2,1,0.1,5,23,NA
2012,3,10/8/2012,D,EB,9,2,4,BOGR2,2,0.25,5,13,NA
2012,3,10/8/2012,D,EB,9,2,4,BOGR2,3,0.5,8,8,NA
2012,3,10/8/2012,D,EB,9,2,4,BOGR2,4,0.75,8,7,NA
2012,3,10/8/2012,D,EB,9,2,4,BOGR2,5,1.5,7,2,NA
2012,3,10/8/2012,D,EB,9,2,4,CHSES,1,0.1,3,5,NA
2012,3,10/8/2012,D,EB,9,2,4,CHSES,2,1,1,1,NA
2012,3,10/8/2012,D,EB,9,2,4,ECIN2,1,0.1,2,1,R
2012,3,10/8/2012,E,EB,9,3,1,BOER4,1,0.5,6,1,NA
2012,3,10/8/2012,E,EB,9,3,1,BOER4,2,1.5,9,1,NA
2012,3,10/8/2012,E,EB,9,3,1,BOER4,3,0.75,6,1,NA
2012,3,10/8/2012,E,EB,9,3,1,BOGR2,1,0.1,5,25,NA
